home,score,away,Tournament
Latvia ,0–3, Poland,UEFA_Euro_2020_qualifying_Group_G
Poland ,2–0, North Macedonia,UEFA_Euro_2020_qualifying_Group_G
Slovenia ,0–1, Austria,UEFA_Euro_2020_qualifying_Group_G
Israel ,3–1, Latvia,UEFA_Euro_2020_qualifying_Group_G
Slovenia ,1–0, Latvia,UEFA_Euro_2020_qualifying_Group_G
Austria ,2–1, North Macedonia,UEFA_Euro_2020_qualifying_Group_G
Israel ,1–2, Poland,UEFA_Euro_2020_qualifying_Group_G
North Macedonia ,1–0, Israel,UEFA_Euro_2020_qualifying_Group_G
Latvia ,1–0, Austria,UEFA_Euro_2020_qualifying_Group_G
Poland ,3–2, Slovenia,UEFA_Euro_2020_qualifying_Group_G
Albania ,0–2, Turkey,UEFA_Euro_2020_qualifying_Group_H
Andorra ,0–2, Iceland,UEFA_Euro_2020_qualifying_Group_H
Moldova ,1–4, France,UEFA_Euro_2020_qualifying_Group_H
Turkey ,4–0, Moldova,UEFA_Euro_2020_qualifying_Group_H
Andorra ,0–3, Albania,UEFA_Euro_2020_qualifying_Group_H
France ,4–0, Iceland,UEFA_Euro_2020_qualifying_Group_H
Iceland ,1–0, Albania,UEFA_Euro_2020_qualifying_Group_H
Moldova ,1–0, Andorra,UEFA_Euro_2020_qualifying_Group_H
Turkey ,2–0, France,UEFA_Euro_2020_qualifying_Group_H
Albania ,2–0, Moldova,UEFA_Euro_2020_qualifying_Group_H
Andorra ,0–4, France,UEFA_Euro_2020_qualifying_Group_H
Iceland ,2–1, Turkey,UEFA_Euro_2020_qualifying_Group_H
Iceland ,3–0, Moldova,UEFA_Euro_2020_qualifying_Group_H
France ,4–1, Albania,UEFA_Euro_2020_qualifying_Group_H
Turkey ,1–0, Andorra,UEFA_Euro_2020_qualifying_Group_H
Albania ,4–2, Iceland,UEFA_Euro_2020_qualifying_Group_H
France ,3–0, Andorra,UEFA_Euro_2020_qualifying_Group_H
Moldova ,0–4, Turkey,UEFA_Euro_2020_qualifying_Group_H
Andorra ,1–0, Moldova,UEFA_Euro_2020_qualifying_Group_H
Iceland ,0–1, France,UEFA_Euro_2020_qualifying_Group_H
Turkey ,1–0, Albania,UEFA_Euro_2020_qualifying_Group_H
France ,1–1, Turkey,UEFA_Euro_2020_qualifying_Group_H
Iceland ,2–0, Andorra,UEFA_Euro_2020_qualifying_Group_H
Moldova ,0–4, Albania,UEFA_Euro_2020_qualifying_Group_H
Turkey ,0–0, Iceland,UEFA_Euro_2020_qualifying_Group_H
Albania ,2–2, Andorra,UEFA_Euro_2020_qualifying_Group_H
France ,2–1, Moldova,UEFA_Euro_2020_qualifying_Group_H
Albania ,0–2, France,UEFA_Euro_2020_qualifying_Group_H
Andorra ,0–2, Turkey,UEFA_Euro_2020_qualifying_Group_H
Moldova ,1–2, Iceland,UEFA_Euro_2020_qualifying_Group_H
Kazakhstan ,3–0, Scotland,UEFA_Euro_2020_qualifying_Group_I
Cyprus ,5–0, San Marino,UEFA_Euro_2020_qualifying_Group_I
Belgium ,3–1, Russia,UEFA_Euro_2020_qualifying_Group_I
Kazakhstan ,0–4, Russia,UEFA_Euro_2020_qualifying_Group_I
San Marino ,0–2, Scotland,UEFA_Euro_2020_qualifying_Group_I
Cyprus ,0–2, Belgium,UEFA_Euro_2020_qualifying_Group_I
Russia ,9–0, San Marino,UEFA_Euro_2020_qualifying_Group_I
Belgium ,3–0, Kazakhstan,UEFA_Euro_2020_qualifying_Group_I
Scotland ,2–1, Cyprus,UEFA_Euro_2020_qualifying_Group_I
Kazakhstan ,4–0, San Marino,UEFA_Euro_2020_qualifying_Group_I
Belgium ,3–0, Scotland,UEFA_Euro_2020_qualifying_Group_I
Russia ,1–0, Cyprus,UEFA_Euro_2020_qualifying_Group_I
Cyprus ,1–1, Kazakhstan,UEFA_Euro_2020_qualifying_Group_I
San Marino ,0–4, Belgium,UEFA_Euro_2020_qualifying_Group_I
Scotland ,1–2, Russia,UEFA_Euro_2020_qualifying_Group_I
Russia ,1–0, Kazakhstan,UEFA_Euro_2020_qualifying_Group_I
San Marino ,0–4, Cyprus,UEFA_Euro_2020_qualifying_Group_I
Scotland ,0–4, Belgium,UEFA_Euro_2020_qualifying_Group_I
Kazakhstan ,1–2, Cyprus,UEFA_Euro_2020_qualifying_Group_I
Belgium ,9–0, San Marino,UEFA_Euro_2020_qualifying_Group_I
Russia ,4–0, Scotland,UEFA_Euro_2020_qualifying_Group_I
Kazakhstan ,0–2, Belgium,UEFA_Euro_2020_qualifying_Group_I
Cyprus ,0–5, Russia,UEFA_Euro_2020_qualifying_Group_I
Scotland ,6–0, San Marino,UEFA_Euro_2020_qualifying_Group_I
Cyprus ,1–2, Scotland,UEFA_Euro_2020_qualifying_Group_I
Russia ,1–4, Belgium,UEFA_Euro_2020_qualifying_Group_I
San Marino ,1–3, Kazakhstan,UEFA_Euro_2020_qualifying_Group_I
Belgium ,6–1, Cyprus,UEFA_Euro_2020_qualifying_Group_I
San Marino ,0–5, Russia,UEFA_Euro_2020_qualifying_Group_I
Scotland ,3–1, Kazakhstan,UEFA_Euro_2020_qualifying_Group_I
Bosnia and Herzegovina ,2–1, Armenia,UEFA_Euro_2020_qualifying_Group_J
Italy ,2–0, Finland,UEFA_Euro_2020_qualifying_Group_J
Liechtenstein ,0–2, Greece,UEFA_Euro_2020_qualifying_Group_J
Armenia ,0–2, Finland,UEFA_Euro_2020_qualifying_Group_J
Bosnia and Herzegovina ,2–2, Greece,UEFA_Euro_2020_qualifying_Group_J
Italy ,6–0, Liechtenstein,UEFA_Euro_2020_qualifying_Group_J
Armenia ,3–0, Liechtenstein,UEFA_Euro_2020_qualifying_Group_J
Finland ,2–0, Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J
Greece ,0–3, Italy,UEFA_Euro_2020_qualifying_Group_J
Greece ,2–3, Armenia,UEFA_Euro_2020_qualifying_Group_J
Italy ,2–1, Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J
Liechtenstein ,0–2, Finland,UEFA_Euro_2020_qualifying_Group_J
Armenia ,1–3, Italy,UEFA_Euro_2020_qualifying_Group_J
Bosnia and Herzegovina ,5–0, Liechtenstein,UEFA_Euro_2020_qualifying_Group_J
Finland ,1–0, Greece,UEFA_Euro_2020_qualifying_Group_J
Armenia ,4–2, Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J
Finland ,1–2, Italy,UEFA_Euro_2020_qualifying_Group_J
Greece ,1–1, Liechtenstein,UEFA_Euro_2020_qualifying_Group_J
Bosnia and Herzegovina ,4–1, Finland,UEFA_Euro_2020_qualifying_Group_J
Italy ,2–0, Greece,UEFA_Euro_2020_qualifying_Group_J
Liechtenstein ,1–1, Armenia,UEFA_Euro_2020_qualifying_Group_J
Finland ,3–0, Armenia,UEFA_Euro_2020_qualifying_Group_J
Greece ,2–1, Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J
Liechtenstein ,0–5, Italy,UEFA_Euro_2020_qualifying_Group_J
Armenia ,0–1, Greece,UEFA_Euro_2020_qualifying_Group_J
Finland ,3–0, Liechtenstein,UEFA_Euro_2020_qualifying_Group_J
Bosnia and Herzegovina ,0–3, Italy,UEFA_Euro_2020_qualifying_Group_J
Greece ,2–1, Finland,UEFA_Euro_2020_qualifying_Group_J
Italy ,9–1, Armenia,UEFA_Euro_2020_qualifying_Group_J
Liechtenstein ,0–3, Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J
Scotland ,3–0, Cyprus,UEFA_Euro_2024_qualifying_Group_A
Spain ,3–0, Norway,UEFA_Euro_2024_qualifying_Group_A
Georgia ,1–1, Norway,UEFA_Euro_2024_qualifying_Group_A
Scotland ,2–0, Spain,UEFA_Euro_2024_qualifying_Group_A
Norway ,1–2, Scotland,UEFA_Euro_2024_qualifying_Group_A
Cyprus ,1–2, Georgia,UEFA_Euro_2024_qualifying_Group_A
Norway ,3–1, Cyprus,UEFA_Euro_2024_qualifying_Group_A
Scotland ,2–0, Georgia,UEFA_Euro_2024_qualifying_Group_A
Georgia ,1–7, Spain,UEFA_Euro_2024_qualifying_Group_A
Cyprus ,0–3, Scotland,UEFA_Euro_2024_qualifying_Group_A
Norway ,2–1, Georgia,UEFA_Euro_2024_qualifying_Group_A
Spain ,6–0, Cyprus,UEFA_Euro_2024_qualifying_Group_A
Cyprus ,0–4, Norway,UEFA_Euro_2024_qualifying_Group_A
Spain ,2–0, Scotland,UEFA_Euro_2024_qualifying_Group_A
Georgia ,4–0, Cyprus,UEFA_Euro_2024_qualifying_Group_A
Norway ,0–1, Spain,UEFA_Euro_2024_qualifying_Group_A
Georgia ,2–2, Scotland,UEFA_Euro_2024_qualifying_Group_A
Cyprus ,1–3, Spain,UEFA_Euro_2024_qualifying_Group_A
Scotland ,3–3, Norway,UEFA_Euro_2024_qualifying_Group_A
Spain ,3–1, Georgia,UEFA_Euro_2024_qualifying_Group_A
France ,4–0, Netherlands,UEFA_Euro_2024_qualifying_Group_B
Gibraltar ,0–3, Greece,UEFA_Euro_2024_qualifying_Group_B
Netherlands ,3–0, Gibraltar,UEFA_Euro_2024_qualifying_Group_B
Republic of Ireland ,0–1, France,UEFA_Euro_2024_qualifying_Group_B
Gibraltar ,0–3, France,UEFA_Euro_2024_qualifying_Group_B
Greece ,2–1, Republic of Ireland,UEFA_Euro_2024_qualifying_Group_B
France ,1–0, Greece,UEFA_Euro_2024_qualifying_Group_B
Republic of Ireland ,3–0, Gibraltar,UEFA_Euro_2024_qualifying_Group_B
France ,2–0, Republic of Ireland,UEFA_Euro_2024_qualifying_Group_B
Netherlands ,3–0, Greece,UEFA_Euro_2024_qualifying_Group_B
Greece ,5–0, Gibraltar,UEFA_Euro_2024_qualifying_Group_B
Republic of Ireland ,1–2, Netherlands,UEFA_Euro_2024_qualifying_Group_B
Netherlands ,1–2, France,UEFA_Euro_2024_qualifying_Group_B
Republic of Ireland ,0–2, Greece,UEFA_Euro_2024_qualifying_Group_B
Gibraltar ,0–4, Republic of Ireland,UEFA_Euro_2024_qualifying_Group_B
Greece ,0–1, Netherlands,UEFA_Euro_2024_qualifying_Group_B
France ,14–0, Gibraltar,UEFA_Euro_2024_qualifying_Group_B
Netherlands ,1–0, Republic of Ireland,UEFA_Euro_2024_qualifying_Group_B
Gibraltar ,0–6, Netherlands,UEFA_Euro_2024_qualifying_Group_B
Greece ,2–2, France,UEFA_Euro_2024_qualifying_Group_B
Italy ,1–2, England,UEFA_Euro_2024_qualifying_Group_C
North Macedonia ,2–1, Malta,UEFA_Euro_2024_qualifying_Group_C
England ,2–0, Ukraine,UEFA_Euro_2024_qualifying_Group_C
Malta ,0–2, Italy,UEFA_Euro_2024_qualifying_Group_C
Malta ,0–4, England,UEFA_Euro_2024_qualifying_Group_C
North Macedonia ,2–3, Ukraine,UEFA_Euro_2024_qualifying_Group_C
Ukraine ,1–0, Malta,UEFA_Euro_2024_qualifying_Group_C
England ,7–0, North Macedonia,UEFA_Euro_2024_qualifying_Group_C
Ukraine ,1–1, England,UEFA_Euro_2024_qualifying_Group_C
North Macedonia ,1–1, Italy,UEFA_Euro_2024_qualifying_Group_C
Italy ,2–1, Ukraine,UEFA_Euro_2024_qualifying_Group_C
Malta ,0–2, North Macedonia,UEFA_Euro_2024_qualifying_Group_C
Ukraine ,2–0, North Macedonia,UEFA_Euro_2024_qualifying_Group_C
Italy ,4–0, Malta,UEFA_Euro_2024_qualifying_Group_C
England ,3–1, Italy,UEFA_Euro_2024_qualifying_Group_C
Malta ,1–3, Ukraine,UEFA_Euro_2024_qualifying_Group_C
England ,2–0, Malta,UEFA_Euro_2024_qualifying_Group_C
Italy ,5–2, North Macedonia,UEFA_Euro_2024_qualifying_Group_C
North Macedonia ,1–1, England,UEFA_Euro_2024_qualifying_Group_C
Ukraine ,0–0, Italy,UEFA_Euro_2024_qualifying_Group_C
Armenia ,1–2, Turkey,UEFA_Euro_2024_qualifying_Group_D
Croatia ,1–1, Wales,UEFA_Euro_2024_qualifying_Group_D
Turkey ,0–2, Croatia,UEFA_Euro_2024_qualifying_Group_D
Wales ,1–0, Latvia,UEFA_Euro_2024_qualifying_Group_D
Latvia ,2–3, Turkey,UEFA_Euro_2024_qualifying_Group_D
Wales ,2–4, Armenia,UEFA_Euro_2024_qualifying_Group_D
Armenia ,2–1, Latvia,UEFA_Euro_2024_qualifying_Group_D
Turkey ,2–0, Wales,UEFA_Euro_2024_qualifying_Group_D
Croatia ,5–0, Latvia,UEFA_Euro_2024_qualifying_Group_D
Turkey ,1–1, Armenia,UEFA_Euro_2024_qualifying_Group_D
Armenia ,0–1, Croatia,UEFA_Euro_2024_qualifying_Group_D
Latvia ,0–2, Wales,UEFA_Euro_2024_qualifying_Group_D
Latvia ,2–0, Armenia,UEFA_Euro_2024_qualifying_Group_D
Croatia ,0–1, Turkey,UEFA_Euro_2024_qualifying_Group_D
Turkey ,4–0, Latvia,UEFA_Euro_2024_qualifying_Group_D
Wales ,2–1, Croatia,UEFA_Euro_2024_qualifying_Group_D
Armenia ,1–1, Wales,UEFA_Euro_2024_qualifying_Group_D
Latvia ,0–2, Croatia,UEFA_Euro_2024_qualifying_Group_D
Croatia ,1–0, Armenia,UEFA_Euro_2024_qualifying_Group_D
Wales ,1–1, Turkey,UEFA_Euro_2024_qualifying_Group_D
Czech Republic ,3–1, Poland,UEFA_Euro_2024_qualifying_Group_E
Moldova ,1–1, Faroe Islands,UEFA_Euro_2024_qualifying_Group_E
Moldova ,0–0, Czech Republic,UEFA_Euro_2024_qualifying_Group_E
Poland ,1–0, Albania,UEFA_Euro_2024_qualifying_Group_E
Albania ,2–0, Moldova,UEFA_Euro_2024_qualifying_Group_E
Faroe Islands ,0–3, Czech Republic,UEFA_Euro_2024_qualifying_Group_E
Faroe Islands ,1–3, Albania,UEFA_Euro_2024_qualifying_Group_E
Moldova ,3–2, Poland,UEFA_Euro_2024_qualifying_Group_E
Czech Republic ,1–1, Albania,UEFA_Euro_2024_qualifying_Group_E
Poland ,2–0, Faroe Islands,UEFA_Euro_2024_qualifying_Group_E
Faroe Islands ,0–1, Moldova,UEFA_Euro_2024_qualifying_Group_E
Albania ,2–0, Poland,UEFA_Euro_2024_qualifying_Group_E
Albania ,3–0, Czech Republic,UEFA_Euro_2024_qualifying_Group_E
Faroe Islands ,0–2, Poland,UEFA_Euro_2024_qualifying_Group_E
Czech Republic ,1–0, Faroe Islands,UEFA_Euro_2024_qualifying_Group_E
Poland ,1–1, Moldova,UEFA_Euro_2024_qualifying_Group_E
Moldova ,1–1, Albania,UEFA_Euro_2024_qualifying_Group_E
Poland ,1–1, Czech Republic,UEFA_Euro_2024_qualifying_Group_E
Albania ,0–0, Faroe Islands,UEFA_Euro_2024_qualifying_Group_E
Czech Republic ,3–0, Moldova,UEFA_Euro_2024_qualifying_Group_E
Austria ,4–1, Azerbaijan,UEFA_Euro_2024_qualifying_Group_F
Sweden ,0–3, Belgium,UEFA_Euro_2024_qualifying_Group_F
Austria ,2–1, Estonia,UEFA_Euro_2024_qualifying_Group_F
Sweden ,5–0, Azerbaijan,UEFA_Euro_2024_qualifying_Group_F
Azerbaijan ,1–1, Estonia,UEFA_Euro_2024_qualifying_Group_F
Belgium ,1–1, Austria,UEFA_Euro_2024_qualifying_Group_F
Austria ,2–0, Sweden,UEFA_Euro_2024_qualifying_Group_F
Estonia ,0–3, Belgium,UEFA_Euro_2024_qualifying_Group_F
Azerbaijan ,0–1, Belgium,UEFA_Euro_2024_qualifying_Group_F
Estonia ,0–5, Sweden,UEFA_Euro_2024_qualifying_Group_F
Belgium ,5–0, Estonia,UEFA_Euro_2024_qualifying_Group_F
Sweden ,1–3, Austria,UEFA_Euro_2024_qualifying_Group_F
Estonia ,0–2, Azerbaijan,UEFA_Euro_2024_qualifying_Group_F
Austria ,2–3, Belgium,UEFA_Euro_2024_qualifying_Group_F
Azerbaijan ,0–1, Austria,UEFA_Euro_2024_qualifying_Group_F
Belgium ,1–1[note 2], Sweden,UEFA_Euro_2024_qualifying_Group_F
Azerbaijan ,3–0, Sweden,UEFA_Euro_2024_qualifying_Group_F
Estonia ,0–2, Austria,UEFA_Euro_2024_qualifying_Group_F
Belgium ,5–0, Azerbaijan,UEFA_Euro_2024_qualifying_Group_F
Sweden ,2–0, Estonia,UEFA_Euro_2024_qualifying_Group_F
Bulgaria ,0–1, Montenegro,UEFA_Euro_2024_qualifying_Group_G
Serbia ,2–0, Lithuania,UEFA_Euro_2024_qualifying_Group_G
Hungary ,3–0, Bulgaria,UEFA_Euro_2024_qualifying_Group_G
Montenegro ,0–2, Serbia,UEFA_Euro_2024_qualifying_Group_G
Lithuania ,1–1, Bulgaria,UEFA_Euro_2024_qualifying_Group_G
Montenegro ,0–0, Hungary,UEFA_Euro_2024_qualifying_Group_G
Bulgaria ,1–1, Serbia,UEFA_Euro_2024_qualifying_Group_G
Hungary ,2–0, Lithuania,UEFA_Euro_2024_qualifying_Group_G
Lithuania ,2–2, Montenegro,UEFA_Euro_2024_qualifying_Group_G
Serbia ,1–2, Hungary,UEFA_Euro_2024_qualifying_Group_G
Montenegro ,2–1, Bulgaria,UEFA_Euro_2024_qualifying_Group_G
Lithuania ,1–3, Serbia,UEFA_Euro_2024_qualifying_Group_G
Bulgaria ,0–2, Lithuania,UEFA_Euro_2024_qualifying_Group_G
Hungary ,2–1, Serbia,UEFA_Euro_2024_qualifying_Group_G
Lithuania ,2–2, Hungary,UEFA_Euro_2024_qualifying_Group_G
Serbia ,3–1, Montenegro,UEFA_Euro_2024_qualifying_Group_G
Bulgaria ,2–2, Hungary,UEFA_Euro_2024_qualifying_Group_G
Montenegro ,2–0, Lithuania,UEFA_Euro_2024_qualifying_Group_G
Hungary ,3–1, Montenegro,UEFA_Euro_2024_qualifying_Group_G
Serbia ,2–2, Bulgaria,UEFA_Euro_2024_qualifying_Group_G
Kazakhstan ,1–2, Slovenia,UEFA_Euro_2024_qualifying_Group_H
Denmark ,3–1, Finland,UEFA_Euro_2024_qualifying_Group_H
San Marino ,0–2, Northern Ireland,UEFA_Euro_2024_qualifying_Group_H
Kazakhstan ,3–2, Denmark,UEFA_Euro_2024_qualifying_Group_H
Slovenia ,2–0, San Marino,UEFA_Euro_2024_qualifying_Group_H
Northern Ireland ,0–1, Finland,UEFA_Euro_2024_qualifying_Group_H
Finland ,2–0, Slovenia,UEFA_Euro_2024_qualifying_Group_H
Denmark ,1–0, Northern Ireland,UEFA_Euro_2024_qualifying_Group_H
San Marino ,0–3, Kazakhstan,UEFA_Euro_2024_qualifying_Group_H
Finland ,6–0, San Marino,UEFA_Euro_2024_qualifying_Group_H
Northern Ireland ,0–1, Kazakhstan,UEFA_Euro_2024_qualifying_Group_H
Slovenia ,1–1, Denmark,UEFA_Euro_2024_qualifying_Group_H
Kazakhstan ,0–1, Finland,UEFA_Euro_2024_qualifying_Group_H
Denmark ,4–0, San Marino,UEFA_Euro_2024_qualifying_Group_H
Slovenia ,4–2, Northern Ireland,UEFA_Euro_2024_qualifying_Group_H
Kazakhstan ,1–0, Northern Ireland,UEFA_Euro_2024_qualifying_Group_H
Finland ,0–1, Denmark,UEFA_Euro_2024_qualifying_Group_H
San Marino ,0–4, Slovenia,UEFA_Euro_2024_qualifying_Group_H
Northern Ireland ,3–0, San Marino,UEFA_Euro_2024_qualifying_Group_H
Slovenia ,3–0, Finland,UEFA_Euro_2024_qualifying_Group_H
Denmark ,3–1, Kazakhstan,UEFA_Euro_2024_qualifying_Group_H
Finland ,1–2, Kazakhstan,UEFA_Euro_2024_qualifying_Group_H
Northern Ireland ,0–1, Slovenia,UEFA_Euro_2024_qualifying_Group_H
San Marino ,1–2, Denmark,UEFA_Euro_2024_qualifying_Group_H
Kazakhstan ,3–1, San Marino,UEFA_Euro_2024_qualifying_Group_H
Finland ,4–0, Northern Ireland,UEFA_Euro_2024_qualifying_Group_H
Denmark ,2–1, Slovenia,UEFA_Euro_2024_qualifying_Group_H
Northern Ireland ,2–0, Denmark,UEFA_Euro_2024_qualifying_Group_H
San Marino ,1–2, Finland,UEFA_Euro_2024_qualifying_Group_H
Slovenia ,2–1, Kazakhstan,UEFA_Euro_2024_qualifying_Group_H
Belarus ,0–5,  Switzerland,UEFA_Euro_2024_qualifying_Group_I
Israel ,1–1, Kosovo,UEFA_Euro_2024_qualifying_Group_I
Andorra ,0–2, Romania,UEFA_Euro_2024_qualifying_Group_I
Kosovo ,1–1, Andorra,UEFA_Euro_2024_qualifying_Group_I
Romania ,2–1, Belarus,UEFA_Euro_2024_qualifying_Group_I
Switzerland ,3–0, Israel,UEFA_Euro_2024_qualifying_Group_I
Andorra ,1–2,  Switzerland,UEFA_Euro_2024_qualifying_Group_I
Belarus ,1–2, Israel,UEFA_Euro_2024_qualifying_Group_I
Kosovo ,0–0, Romania,UEFA_Euro_2024_qualifying_Group_I
Belarus ,2–1, Kosovo,UEFA_Euro_2024_qualifying_Group_I
Israel ,2–1, Andorra,UEFA_Euro_2024_qualifying_Group_I
Switzerland ,2–2, Romania,UEFA_Euro_2024_qualifying_Group_I
Andorra ,0–0, Belarus,UEFA_Euro_2024_qualifying_Group_I
Kosovo ,2–2,  Switzerland,UEFA_Euro_2024_qualifying_Group_I
Romania ,1–1, Israel,UEFA_Euro_2024_qualifying_Group_I
Israel ,1–0, Belarus,UEFA_Euro_2024_qualifying_Group_I
Romania ,2–0, Kosovo,UEFA_Euro_2024_qualifying_Group_I
Switzerland ,3–0, Andorra,UEFA_Euro_2024_qualifying_Group_I
Andorra ,0–3, Kosovo,UEFA_Euro_2024_qualifying_Group_I
Belarus ,0–0, Romania,UEFA_Euro_2024_qualifying_Group_I
Switzerland ,3–3, Belarus,UEFA_Euro_2024_qualifying_Group_I
Romania ,4–0, Andorra,UEFA_Euro_2024_qualifying_Group_I
Kosovo ,1–0, Israel,UEFA_Euro_2024_qualifying_Group_I
Israel ,1–1,  Switzerland,UEFA_Euro_2024_qualifying_Group_I
Belarus ,1–0, Andorra,UEFA_Euro_2024_qualifying_Group_I
Israel ,1–2, Romania,UEFA_Euro_2024_qualifying_Group_I
Switzerland ,1–1, Kosovo,UEFA_Euro_2024_qualifying_Group_I
Andorra ,0–2, Israel,UEFA_Euro_2024_qualifying_Group_I
Kosovo ,0–1, Belarus,UEFA_Euro_2024_qualifying_Group_I
Romania ,1–0,  Switzerland,UEFA_Euro_2024_qualifying_Group_I
Bosnia and Herzegovina ,3–0, Iceland,UEFA_Euro_2024_qualifying_Group_J
Portugal ,4–0, Liechtenstein,UEFA_Euro_2024_qualifying_Group_J
Slovakia ,0–0, Luxembourg,UEFA_Euro_2024_qualifying_Group_J
Liechtenstein ,0–7, Iceland,UEFA_Euro_2024_qualifying_Group_J
Luxembourg ,0–6, Portugal,UEFA_Euro_2024_qualifying_Group_J
Slovakia ,2–0, Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J
Luxembourg ,2–0, Liechtenstein,UEFA_Euro_2024_qualifying_Group_J
Iceland ,1–2, Slovakia,UEFA_Euro_2024_qualifying_Group_J
Portugal ,3–0, Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J
Bosnia and Herzegovina ,0–2, Luxembourg,UEFA_Euro_2024_qualifying_Group_J
Iceland ,0–1, Portugal,UEFA_Euro_2024_qualifying_Group_J
Liechtenstein ,0–1, Slovakia,UEFA_Euro_2024_qualifying_Group_J
Bosnia and Herzegovina ,2–1, Liechtenstein,UEFA_Euro_2024_qualifying_Group_J
Luxembourg ,3–1, Iceland,UEFA_Euro_2024_qualifying_Group_J
Slovakia ,0–1, Portugal,UEFA_Euro_2024_qualifying_Group_J
Iceland ,1–0, Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J
Portugal ,9–0, Luxembourg,UEFA_Euro_2024_qualifying_Group_J
Slovakia ,3–0, Liechtenstein,UEFA_Euro_2024_qualifying_Group_J
Iceland ,1–1, Luxembourg,UEFA_Euro_2024_qualifying_Group_J
Liechtenstein ,0–2, Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J
Portugal ,3–2, Slovakia,UEFA_Euro_2024_qualifying_Group_J
Bosnia and Herzegovina ,0–5, Portugal,UEFA_Euro_2024_qualifying_Group_J
Iceland ,4–0, Liechtenstein,UEFA_Euro_2024_qualifying_Group_J
Luxembourg ,0–1, Slovakia,UEFA_Euro_2024_qualifying_Group_J
Liechtenstein ,0–2, Portugal,UEFA_Euro_2024_qualifying_Group_J
Luxembourg ,4–1, Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J
Slovakia ,4–2, Iceland,UEFA_Euro_2024_qualifying_Group_J
Bosnia and Herzegovina ,1–2, Slovakia,UEFA_Euro_2024_qualifying_Group_J
Liechtenstein ,0–1, Luxembourg,UEFA_Euro_2024_qualifying_Group_J
Portugal ,2–0, Iceland,UEFA_Euro_2024_qualifying_Group_J
Germany ,0–0, France,2018–19_UEFA_Nations_League_A
France ,2–1, Netherlands,2018–19_UEFA_Nations_League_A
Netherlands ,3–0, Germany,2018–19_UEFA_Nations_League_A
France ,2–1, Germany,2018–19_UEFA_Nations_League_A
Netherlands ,2–0, France,2018–19_UEFA_Nations_League_A
Germany ,2–2, Netherlands,2018–19_UEFA_Nations_League_A
Switzerland ,6–0, Iceland,2018–19_UEFA_Nations_League_A
Iceland ,0–3, Belgium,2018–19_UEFA_Nations_League_A
Belgium ,2–1,  Switzerland,2018–19_UEFA_Nations_League_A
Iceland ,1–2,  Switzerland,2018–19_UEFA_Nations_League_A
Belgium ,2–0, Iceland,2018–19_UEFA_Nations_League_A
Switzerland ,5–2, Belgium,2018–19_UEFA_Nations_League_A
Italy ,1–1, Poland,2018–19_UEFA_Nations_League_A
Portugal ,1–0, Italy,2018–19_UEFA_Nations_League_A
Poland ,2–3, Portugal,2018–19_UEFA_Nations_League_A
Poland ,0–1, Italy,2018–19_UEFA_Nations_League_A
Italy ,0–0, Portugal,2018–19_UEFA_Nations_League_A
Portugal ,1–1, Poland,2018–19_UEFA_Nations_League_A
England ,1–2, Spain,2018–19_UEFA_Nations_League_A
Spain ,6–0, Croatia,2018–19_UEFA_Nations_League_A
Croatia ,0–0, England,2018–19_UEFA_Nations_League_A
Spain ,2–3, England,2018–19_UEFA_Nations_League_A
Croatia ,3–2, Spain,2018–19_UEFA_Nations_League_A
England ,2–1, Croatia,2018–19_UEFA_Nations_League_A
Portugal ,3–1,  Switzerland,2018–19_UEFA_Nations_League_A
Netherlands ,3–1 (a.e.t.), England,2018–19_UEFA_Nations_League_A
Switzerland ,0–0 (a.e.t.), England,2018–19_UEFA_Nations_League_A
Portugal ,1–0, Netherlands,2018–19_UEFA_Nations_League_A
Albania ,1–0, Israel,2018–19_UEFA_Nations_League_C
Scotland ,2–0, Albania,2018–19_UEFA_Nations_League_C
Israel ,2–1, Scotland,2018–19_UEFA_Nations_League_C
Israel ,2–0, Albania,2018–19_UEFA_Nations_League_C
Albania ,0–4, Scotland,2018–19_UEFA_Nations_League_C
Scotland ,3–2, Israel,2018–19_UEFA_Nations_League_C
Finland ,1–0, Hungary,2018–19_UEFA_Nations_League_C
Estonia ,0–1, Greece,2018–19_UEFA_Nations_League_C
Hungary ,2–1, Greece,2018–19_UEFA_Nations_League_C
Finland ,1–0, Estonia,2018–19_UEFA_Nations_League_C
Greece ,1–0, Hungary,2018–19_UEFA_Nations_League_C
Estonia ,0–1, Finland,2018–19_UEFA_Nations_League_C
Estonia ,3–3, Hungary,2018–19_UEFA_Nations_League_C
Finland ,2–0, Greece,2018–19_UEFA_Nations_League_C
Hungary ,2–0, Estonia,2018–19_UEFA_Nations_League_C
Greece ,1–0, Finland,2018–19_UEFA_Nations_League_C
