home,away,Tournament,HomeGoals,AwayGoals,TotalGoals
Northern Ireland,Kazakhstan,UEFA_Euro_2024_qualifying_Group_H,0,1,1
Northern Ireland,Finland,UEFA_Euro_2024_qualifying_Group_H,0,1,1
Slovenia,Denmark,UEFA_Euro_2024_qualifying_Group_H,1,1,2
Andorra,Kosovo,UEFA_Euro_2024_qualifying_Group_I,0,3,3
Belarus,Romania,UEFA_Euro_2024_qualifying_Group_I,0,0,0
Switzerland,Belarus,UEFA_Euro_2024_qualifying_Group_I,3,3,6
Romania,Andorra,UEFA_Euro_2024_qualifying_Group_I,4,0,4
Kosovo,Israel,UEFA_Euro_2024_qualifying_Group_I,1,0,1
Switzerland,Kosovo,UEFA_Euro_2024_qualifying_Group_I,1,1,2
Israel,Romania,UEFA_Euro_2024_qualifying_Group_I,1,2,3
Andorra,Israel,UEFA_Euro_2024_qualifying_Group_I,0,2,2
Kosovo,Belarus,UEFA_Euro_2024_qualifying_Group_I,0,1,1
Romania,Switzerland,UEFA_Euro_2024_qualifying_Group_I,1,0,1
Switzerland,Andorra,UEFA_Euro_2024_qualifying_Group_I,3,0,3
Israel,Switzerland,UEFA_Euro_2024_qualifying_Group_I,1,1,2
Romania,Kosovo,UEFA_Euro_2024_qualifying_Group_I,2,0,2
Belarus,Andorra,UEFA_Euro_2024_qualifying_Group_I,1,0,1
Romania,Israel,UEFA_Euro_2024_qualifying_Group_I,1,1,2
Israel,Belarus,UEFA_Euro_2024_qualifying_Group_I,1,0,1
Israel,Kosovo,UEFA_Euro_2024_qualifying_Group_I,1,1,2
Andorra,Romania,UEFA_Euro_2024_qualifying_Group_I,0,2,2
Kosovo,Andorra,UEFA_Euro_2024_qualifying_Group_I,1,1,2
Romania,Belarus,UEFA_Euro_2024_qualifying_Group_I,2,1,3
Switzerland,Israel,UEFA_Euro_2024_qualifying_Group_I,3,0,3
Andorra,Switzerland,UEFA_Euro_2024_qualifying_Group_I,1,2,3
Belarus,Israel,UEFA_Euro_2024_qualifying_Group_I,1,2,3
Kosovo,Romania,UEFA_Euro_2024_qualifying_Group_I,0,0,0
Belarus,Kosovo,UEFA_Euro_2024_qualifying_Group_I,2,1,3
Israel,Andorra,UEFA_Euro_2024_qualifying_Group_I,2,1,3
Switzerland,Romania,UEFA_Euro_2024_qualifying_Group_I,2,2,4
Andorra,Belarus,UEFA_Euro_2024_qualifying_Group_I,0,0,0
Belarus,Switzerland,UEFA_Euro_2024_qualifying_Group_I,0,5,5
Kosovo,Switzerland,UEFA_Euro_2024_qualifying_Group_I,2,2,4
Iceland,Luxembourg,UEFA_Euro_2024_qualifying_Group_J,1,1,2
Liechtenstein,Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J,0,2,2
Portugal,Slovakia,UEFA_Euro_2024_qualifying_Group_J,3,2,5
Bosnia and Herzegovina,Portugal,UEFA_Euro_2024_qualifying_Group_J,0,5,5
Iceland,Liechtenstein,UEFA_Euro_2024_qualifying_Group_J,4,0,4
Liechtenstein,Portugal,UEFA_Euro_2024_qualifying_Group_J,0,2,2
Slovakia,Liechtenstein,UEFA_Euro_2024_qualifying_Group_J,3,0,3
Luxembourg,Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J,4,1,5
Slovakia,Iceland,UEFA_Euro_2024_qualifying_Group_J,4,2,6
Bosnia and Herzegovina,Slovakia,UEFA_Euro_2024_qualifying_Group_J,1,2,3
Liechtenstein,Luxembourg,UEFA_Euro_2024_qualifying_Group_J,0,1,1
Portugal,Iceland,UEFA_Euro_2024_qualifying_Group_J,2,0,2
Luxembourg,Slovakia,UEFA_Euro_2024_qualifying_Group_J,0,1,1
Portugal,Luxembourg,UEFA_Euro_2024_qualifying_Group_J,9,0,9
Luxembourg,Iceland,UEFA_Euro_2024_qualifying_Group_J,3,1,4
Slovakia,Portugal,UEFA_Euro_2024_qualifying_Group_J,0,1,1
Bosnia and Herzegovina,Liechtenstein,UEFA_Euro_2024_qualifying_Group_J,2,1,3
Liechtenstein,Slovakia,UEFA_Euro_2024_qualifying_Group_J,0,1,1
Iceland,Portugal,UEFA_Euro_2024_qualifying_Group_J,0,1,1
Bosnia and Herzegovina,Luxembourg,UEFA_Euro_2024_qualifying_Group_J,0,2,2
Iceland,Slovakia,UEFA_Euro_2024_qualifying_Group_J,1,2,3
Luxembourg,Liechtenstein,UEFA_Euro_2024_qualifying_Group_J,2,0,2
Slovakia,Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J,2,0,2
Luxembourg,Portugal,UEFA_Euro_2024_qualifying_Group_J,0,6,6
Liechtenstein,Iceland,UEFA_Euro_2024_qualifying_Group_J,0,7,7
Slovakia,Luxembourg,UEFA_Euro_2024_qualifying_Group_J,0,0,0
Portugal,Liechtenstein,UEFA_Euro_2024_qualifying_Group_J,4,0,4
Bosnia and Herzegovina,Iceland,UEFA_Euro_2024_qualifying_Group_J,3,0,3
Iceland,Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J,1,0,1
Portugal,Bosnia and Herzegovina,UEFA_Euro_2024_qualifying_Group_J,3,0,3
